epoch,train_loss,train_acc,test_loss,test_acc
1,0.250119,0.922633,0.15848,0.9495
2,0.102937,0.96895,0.102256,0.9677
3,0.0740589,0.976517,0.0931181,0.9713
4,0.0575617,0.982067,0.0782975,0.9768
5,0.0432806,0.986417,0.0837236,0.9752
6,0.0363968,0.988283,0.0897627,0.9739
7,0.028061,0.990883,0.0801848,0.977
8,0.024412,0.99205,0.0798544,0.9783
9,0.0187146,0.99455,0.0804466,0.9793
10,0.0140529,0.996,0.0755339,0.9793
11,0.0120435,0.996467,0.0838336,0.9766
12,0.00750991,0.998467,0.0763121,0.9788
13,0.00588667,0.9986,0.0774518,0.9808
14,0.00493773,0.998883,0.0793795,0.9803
15,0.00278418,0.999633,0.0801241,0.9802
16,0.00201931,0.999883,0.079413,0.9807
17,0.00139751,0.999917,0.0789489,0.981
18,0.00113292,0.999983,0.0798272,0.981
19,0.00094022,1,0.0808063,0.9811
20,0.000841634,1,0.080629,0.9813
