epoch,train_loss,train_acc,test_loss,test_acc
1,0.304988,0.905817,0.137252,0.9585
2,0.118991,0.963717,0.140537,0.9599
3,0.0871487,0.972667,0.117298,0.9661
4,0.0687443,0.979117,0.110799,0.9657
5,0.0573057,0.981667,0.091601,0.9729
6,0.0493445,0.98385,0.124568,0.9666
7,0.0417937,0.986367,0.0993482,0.9733
8,0.0351521,0.988417,0.109254,0.9723
9,0.0304883,0.990417,0.0852933,0.9785
10,0.0247736,0.991867,0.113826,0.9727
11,0.0265185,0.991167,0.108856,0.9749
12,0.0220046,0.992867,0.121233,0.9722
13,0.0251357,0.992083,0.128799,0.9718
14,0.0190001,0.994217,0.143231,0.972
15,0.0224643,0.992767,0.113044,0.9776
16,0.0170181,0.994417,0.103093,0.9781
17,0.00921455,0.997067,0.15545,0.9717
18,0.022576,0.99295,0.129589,0.9757
19,0.0183195,0.994167,0.146047,0.973
20,0.0199169,0.9939,0.129579,0.976
