epoch,train_loss,train_acc,test_loss,test_acc
1,0.247168,0.923617,0.121014,0.9599
2,0.102517,0.967933,0.0907215,0.9721
3,0.0730554,0.977417,0.112782,0.9654
4,0.0544973,0.982817,0.0768957,0.9775
5,0.0441579,0.985867,0.0743593,0.9784
6,0.0361669,0.988167,0.0697756,0.9802
7,0.0284146,0.99085,0.075968,0.979
8,0.0226775,0.992333,0.080944,0.9764
9,0.0171353,0.9947,0.0681397,0.981
10,0.013502,0.9958,0.0788977,0.9784
11,0.00993766,0.997067,0.0732623,0.981
12,0.00660465,0.998467,0.0727041,0.9806
13,0.00446339,0.999067,0.0765059,0.9808
14,0.00305771,0.999633,0.0760557,0.9807
15,0.00212806,0.99985,0.0771555,0.9817
16,0.0014587,0.9999,0.0770724,0.981
17,0.00126554,0.999933,0.0775468,0.9817
18,0.00111585,0.999967,0.0776186,0.9821
19,0.000913398,1,0.0774616,0.9819
20,0.000842065,1,0.0783387,0.9822
