Implementation,Threads,Affinity,Mean,StdDev
omp,2,default,0.000480337147,0.000009669014
omp,2,close,0.000473734567,0.000008705089
omp,2,spread,0.000486872256,0.000008044929
omp,4,default,0.000274931187,0.000005786442
omp,4,close,0.000258515392,0.000007041832
omp,4,spread,0.000263229305,0.000005685922
omp,8,default,0.000148591558,0.000005026972
omp,8,close,0.000152184001,0.000020724605
omp,8,spread,0.000235853383,0.000022614996
blas,2,default,0.000132258828,0.000004222687
blas,2,close,0.000128155836,0.000002374129
blas,2,spread,0.000159466309,0.000002275957
blas,4,default,0.000068820038,0.000001637593
blas,4,close,0.000067684271,0.000001491896
blas,4,spread,0.000087055939,0.000001950088
blas,8,default,0.000068181379,0.000003020315
blas,8,close,0.000044996889,0.000000544682
blas,8,spread,0.000075064781,0.000001478586
