Experiment,Final_Test_Acc_mean,Final_Test_Acc_std,Final_Test_Acc_count,Final_Test_Loss_mean,Final_Test_Loss_std,Final_Train_Acc_mean,Final_Train_Acc_std,Final_Train_Loss_mean,Final_Train_Loss_std
act_relu_manual,0.9735199999999999,0.0030277054017853553,5,0.0894519,0.011539058633181479,0.9858068,0.0008707790764597383,0.04418928,0.0017912539454248224
act_sigmoid_xavier,0.968,0.001051189802081431,5,0.10382206000000001,0.0023218885778607096,0.9705999999999999,0.0004121152751355167,0.10105820000000001,0.0014290114415217287
act_tanh_xavier,0.9745000000000001,0.0015700318468107515,5,0.0822633,0.002255199860322808,0.9842266000000001,0.0005651613044078534,0.050219040000000006,0.002233063236453458
baseline_relu_he,0.97284,0.0026482069405543464,5,0.09156706,0.00916502191448553,0.9848298,0.0013971960134497828,0.0471696,0.004274928809348759
batch_256,0.14972,0.06042244616034674,5,2.171564,0.18168769132772858,0.14757320000000002,0.05430688420172898,2.18344,0.16434228412067295
batch_32,0.9754400000000001,0.0021314314438892934,5,0.08288654,0.007164820181483967,0.9861368,0.00044156166047334294,0.043179220000000004,0.001436238527195256
hidden_256,0.97722,0.0009471008394041484,5,0.07438051999999999,0.002382080627728622,0.9890831999999999,0.00032807956352081237,0.03467866,0.0010564624664416609
hidden_64,0.9702,0.0036048578335351866,5,0.10218050000000001,0.013028345083701154,0.9779,0.0016250196921883536,0.0693293,0.004892104262482555
lr_0.001,0.9613799999999999,0.0015466091943345068,5,0.13112479999999999,0.0014834384719293262,0.9619332,0.0006839895467037262,0.1343626,0.003288411592243293
lr_0.1,0.1041,0.005642694391866353,5,2.328134,0.01070573584579787,0.1013968,0.000905787613074942,2.335652,0.0007147167271024025
