Implementation,Threads,Size,Mean,StdDev
ijk,1,64,0.000138352775,0.000000899207
ikj,1,64,0.000037203200,0.000000214350
blocked,1,64,0.000050338175,0.000000042565
omp,4,64,0.000015977200,0.000000281551
omp,8,64,0.000009637150,0.000000712867
blas,8,64,0.000009446012,0.000000019217
ijk,1,128,0.001388784875,0.000005922071
ikj,1,128,0.000316915925,0.000001876641
blocked,1,128,0.000386789050,0.000004684899
omp,4,128,0.000087042750,0.000000542975
omp,8,128,0.000049548775,0.000001937090
blas,8,128,0.000025550450,0.000001616378
ijk,1,256,0.032057808143,0.000069156305
ikj,1,256,0.002233848333,0.000010704381
blocked,1,256,0.003146286952,0.000005775901
omp,4,256,0.000683562381,0.000039719057
omp,8,256,0.000355448238,0.000004314734
blas,8,256,0.000118826095,0.000002361956
ijk,1,512,0.412765610313,0.009125527367
ikj,1,512,0.018963187500,0.000030121131
blocked,1,512,0.025698022813,0.000015678591
omp,4,512,0.005872061438,0.000081539019
omp,8,512,0.003332000937,0.000015635422
blas,8,512,0.001421271313,0.000008006000
ijk,1,1024,4.549338544000,0.085129927674
ikj,1,1024,0.150192593400,0.000414773321
blocked,1,1024,0.207070778600,0.000319430815
omp,4,1024,0.047416939700,0.000405881767
omp,8,1024,0.023013052300,0.000213378001
blas,8,1024,0.005135301900,0.000009284981
ijk,1,2048,49.794835602333,0.062062092119
ikj,1,2048,2.119559716000,0.006074626398
blocked,1,2048,1.797811983667,0.000755775085
omp,4,2048,0.748917573500,0.000538359923
omp,8,2048,0.396817582167,0.000449137632
blas,8,2048,0.054296266167,0.000691022126
