Implementation,Size,Threads,Time,StdDev
omp,64,1,0.000043376875,0.000000541571
omp,64,2,0.000024517662,0.000000025315
omp,64,4,0.000014568613,0.000001420372
omp,64,8,0.000012755575,0.000000178101
omp,64,16,0.000075325075,0.000004076614
omp,128,1,0.000326869500,0.000002747523
omp,128,2,0.000166555225,0.000001461458
omp,128,4,0.000087125350,0.000000672466
omp,128,8,0.000050210050,0.000003422972
omp,128,16,0.000115999600,0.000009119170
omp,256,1,0.002617499714,0.000004673000
omp,256,2,0.001294080286,0.000003513548
omp,256,4,0.000667343476,0.000003839849
omp,256,8,0.000361730714,0.000003659767
omp,256,16,0.000490414762,0.000106120620
omp,512,1,0.022163898500,0.000198029175
omp,512,2,0.011481248375,0.000193167730
omp,512,4,0.005823469687,0.000108867584
omp,512,8,0.003349495063,0.000032262184
omp,512,16,0.004013941437,0.000488176663
omp,1024,1,0.170566133300,0.000665931383
omp,1024,2,0.090878247800,0.000453052892
omp,1024,4,0.047364474700,0.000244776465
omp,1024,8,0.023172431900,0.000211800815
omp,1024,16,0.024888017500,0.001125309560
omp,2048,1,2.800859659750,0.005816383913
omp,2048,2,1.508755526250,0.003755248129
omp,2048,4,0.758876983750,0.001365333224
omp,2048,8,0.397996383875,0.003582434659
omp,2048,16,0.385653471750,0.001626799959
blas,64,1,0.000009454988,0.000000016709
blas,64,2,0.000010330600,0.000001124354
blas,64,4,0.000009446712,0.000000015291
blas,64,8,0.000009451112,0.000000018144
blas,64,16,0.000009456213,0.000000017140
blas,128,1,0.000084637950,0.000000253661
blas,128,2,0.000051518200,0.000003228383
blas,128,4,0.000034305475,0.000000520778
blas,128,8,0.000023483750,0.000000119930
blas,128,16,0.002356459250,0.002240749857
blas,256,1,0.000614362000,0.000003316303
blas,256,2,0.000332150857,0.000003083666
blas,256,4,0.000189078571,0.000002039275
blas,256,8,0.000120195524,0.000002529889
blas,256,16,0.006088602667,0.001507308857
blas,512,1,0.004738973750,0.000011157914
blas,512,2,0.003112309000,0.000010117764
blas,512,4,0.001999160188,0.000004809667
blas,512,8,0.001429488562,0.000015578841
blas,512,16,0.009588741000,0.004471850046
blas,1024,1,0.037114199000,0.000073377711
blas,1024,2,0.018784531200,0.000030275818
blas,1024,4,0.009681021700,0.000018506011
blas,1024,8,0.005183252400,0.000091803612
blas,1024,16,0.018713256800,0.004400497275
blas,2048,1,0.309202489250,0.000205439953
blas,2048,2,0.162472084000,0.000269582109
blas,2048,4,0.090095690500,0.000278359713
blas,2048,8,0.053433690875,0.000184834952
blas,2048,16,0.080821468500,0.005452858422
