Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 16.51      1.54     1.54 1112540082     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
 11.54      2.62     1.08    21592     0.00     0.00  void std::__fill_a1<double*, double>(double*, double*, double const&)
  9.56      3.52     0.90 573132032     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  7.85      4.25     0.73 521452998     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  6.73      4.88     0.63     3752     0.00     0.00  Matrix::transpose() const
  6.62      5.50     0.62      938     0.00     0.00  SGDOptimizer::step()
  6.57      6.12     0.61 245532068     0.00     0.00  Matrix::operator()(unsigned long, unsigned long) const
  5.88      6.67     0.55     9380     0.00     0.00  Node::addGrad(Matrix const&)
  5.24      7.16     0.49                             _init
  5.13      7.64     0.48 224810260     0.00     0.00  Matrix::operator()(unsigned long, unsigned long)
  4.91      8.10     0.46        2     0.23     0.31  MNISTDataset::loadImages(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int, int)
  3.53      8.43     0.33     1252     0.00     0.00  DataLoader::nextBatch()
  2.19      8.63     0.20 98144792     0.00     0.00  void std::_Construct<double, double const&>(double*, double const&)
  1.60      8.79     0.15    12216     0.00     0.00  double* std::__do_uninit_fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  1.23      8.90     0.12 98257767     0.00     0.00  operator new(unsigned long, void*)
  1.12      9.01     0.10    77874     0.00     0.00  std::__shared_ptr_access<Node, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.64      9.06     0.06      938     0.00     0.00  MathOps::relu(std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::operator()(Matrix const&) const
  0.48      9.11     0.04 10960000     0.00     0.00  double const& std::max<double>(double const&, double const&)
  0.43      9.15     0.04     2504     0.00     0.00  MathOps::add(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)
  0.37      9.19     0.04                             Matrix::add(Matrix const&) const
  0.32      9.21     0.03     1252     0.00     0.00  CrossEntropyLoss::forward(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)
  0.27      9.24     0.03                             operator delete(void*, void*)
  0.21      9.26     0.02     1252     0.00     0.00  MathOps::relu(std::shared_ptr<Node> const&)
  0.21      9.28     0.02     1252     0.00     0.00  Trainer::countCorrect(Matrix const&, Matrix const&) const
  0.21      9.30     0.02        4     0.01     0.01  Matrix::operator=(Matrix const&)
  0.11      9.31     0.01    19096     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.11      9.32     0.01     7512     0.00     0.00  std::function<void (Matrix const&)>::function(std::function<void (Matrix const&)>&&)
