Implementation,Size,Threads,Time,StdDev
omp,64,1,0.00004557,0.00000516
omp,64,2,0.00002773,0.00000507
omp,64,4,0.00001656,0.00000402
omp,64,8,0.00363615,0.00497915
omp,64,16,0.00013123,0.00032311
omp,128,1,0.00037743,0.00001819
omp,128,2,0.00022333,0.00002992
omp,128,4,0.00014196,0.00002166
omp,128,8,0.00034599,0.00070371
omp,128,16,0.00023607,0.00009112
omp,256,1,0.00275884,0.00004023
omp,256,2,0.00146426,0.00002377
omp,256,4,0.00082843,0.00002742
omp,256,8,0.00314258,0.00393754
omp,256,16,0.00096897,0.00021703
omp,512,1,0.02295533,0.00144273
omp,512,2,0.01235302,0.00087528
omp,512,4,0.00644563,0.00013266
omp,512,8,0.00667365,0.00272750
omp,512,16,0.00522942,0.00037511
omp,1024,1,0.17459901,0.00210997
omp,1024,2,0.09157161,0.00072661
omp,1024,4,0.04854916,0.00054846
omp,1024,8,0.02649463,0.00042496
omp,1024,16,0.02868745,0.00163481
omp,2048,1,2.86822695,0.04295958
omp,2048,2,1.52342004,0.01432913
omp,2048,4,0.75604288,0.00507854
omp,2048,8,0.39869442,0.00730447
omp,2048,16,0.38612949,0.01178600
blas,64,1,0.00000927,0.00000069
blas,64,2,0.00000928,0.00000094
blas,64,4,0.00000936,0.00000155
blas,64,8,0.00000933,0.00000174
blas,64,16,0.00000929,0.00000087
blas,128,1,0.00012681,0.00000937
blas,128,2,0.00009756,0.00000611
blas,128,4,0.00008213,0.00000429
blas,128,8,0.00008959,0.00000766
blas,128,16,0.00218123,0.00254319
blas,256,1,0.00078383,0.00003318
blas,256,2,0.00049677,0.00000971
blas,256,4,0.00035938,0.00001866
blas,256,8,0.00032616,0.00007252
blas,256,16,0.00570629,0.00234918
blas,512,1,0.00538469,0.00006017
blas,512,2,0.00308632,0.00008540
blas,512,4,0.00189815,0.00002643
blas,512,8,0.00137527,0.00006693
blas,512,16,0.00792390,0.00510096
blas,1024,1,0.03936188,0.00012612
blas,1024,2,0.02117755,0.00011100
blas,1024,4,0.01193577,0.00007168
blas,1024,8,0.00750898,0.00015139
blas,1024,16,0.02326941,0.00848235
blas,2048,1,0.30448902,0.00035375
blas,2048,2,0.15915174,0.00058743
blas,2048,4,0.08661858,0.00017938
blas,2048,8,0.05037221,0.00030650
blas,2048,16,0.07986498,0.00561241
